pygame 2.4.0 (SDL 2.26.5, Python 3.11.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
 0: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (input)
 1: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (output)
couldnt find device
using input_id :0:
<Event(32771-MidiIn {'status': 230, 'data1': 59, 'data2': 63, 'data3': 0, 'timestamp': 5559, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 49, 'data2': 0, 'data3': 0, 'timestamp': 5560, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 50, 'data2': 0, 'data3': 0, 'timestamp': 5561, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 58, 'data2': 63, 'data3': 0, 'timestamp': 5561, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 39, 'data3': 0, 'timestamp': 5562, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 57, 'data2': 63, 'data3': 0, 'timestamp': 5562, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 51, 'data2': 0, 'data3': 0, 'timestamp': 5563, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 55, 'data2': 63, 'data3': 0, 'timestamp': 5563, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 52, 'data2': 0, 'data3': 0, 'timestamp': 5564, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 54, 'data2': 63, 'data3': 0, 'timestamp': 5564, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 53, 'data2': 0, 'data3': 0, 'timestamp': 5565, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 53, 'data2': 63, 'data3': 0, 'timestamp': 5565, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 40, 'data3': 0, 'timestamp': 5566, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 50, 'data2': 63, 'data3': 0, 'timestamp': 5566, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 54, 'data2': 0, 'data3': 0, 'timestamp': 5567, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 46, 'data2': 63, 'data3': 0, 'timestamp': 5567, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 55, 'data2': 0, 'data3': 0, 'timestamp': 5568, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 41, 'data3': 0, 'timestamp': 5568, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 42, 'data2': 63, 'data3': 0, 'timestamp': 5568, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 38, 'data2': 63, 'data3': 0, 'timestamp': 5569, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 56, 'data2': 0, 'data3': 0, 'timestamp': 5570, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 42, 'data3': 0, 'timestamp': 5570, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 33, 'data2': 63, 'data3': 0, 'timestamp': 5570, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 29, 'data2': 63, 'data3': 0, 'timestamp': 5571, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 57, 'data2': 0, 'data3': 0, 'timestamp': 5572, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 21, 'data2': 63, 'data3': 0, 'timestamp': 5572, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 57, 'data2': 0, 'data3': 0, 'timestamp': 5573, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 43, 'data3': 0, 'timestamp': 5573, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 115, 'data2': 62, 'data3': 0, 'timestamp': 5573, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 99, 'data2': 62, 'data3': 0, 'timestamp': 5574, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 87, 'data2': 62, 'data3': 0, 'timestamp': 5575, 'vice_id': 0})>
